label,seq,row_index,phase,phase_name,event_index,fifo_byte,fifo_empty,fifo_full,ro_en
smoke_run01_fixed_decode,364,18,2,send,0,193,0,1,1
smoke_run01_fixed_decode,365,18,2,send,1,64,0,1,1
smoke_run01_fixed_decode,366,18,2,send,2,197,0,1,1
smoke_run01_fixed_decode,367,18,2,send,3,1,0,1,1
smoke_run01_fixed_decode,368,18,2,send,4,226,0,1,1
smoke_run01_fixed_decode,369,18,2,send,5,1,0,1,1
smoke_run01_fixed_decode,370,18,2,send,6,64,0,1,1
smoke_run01_fixed_decode,371,18,2,send,7,153,0,1,1
smoke_run01_fixed_decode,372,18,2,send,8,158,0,1,1
smoke_run01_fixed_decode,373,18,2,send,9,167,0,1,1
smoke_run01_fixed_decode,374,18,2,send,10,141,0,1,1
smoke_run01_fixed_decode,375,18,2,send,11,146,0,1,1
smoke_run01_fixed_decode,376,18,2,send,12,144,0,1,1
smoke_run01_fixed_decode,377,18,2,send,13,4,0,1,1
smoke_run01_fixed_decode,378,18,2,send,14,37,0,1,1
smoke_run01_fixed_decode,379,18,2,send,15,38,0,1,1
smoke_run01_fixed_decode,380,19,1,warmup,0,53,0,1,1
smoke_run01_fixed_decode,381,19,1,warmup,1,23,0,1,1
smoke_run01_fixed_decode,382,19,1,warmup,2,0,0,1,1
smoke_run01_fixed_decode,383,19,1,warmup,3,0,0,1,1
smoke_run01_fixed_decode,384,19,2,send,0,52,0,1,1
smoke_run01_fixed_decode,385,19,2,send,1,205,0,1,1
smoke_run01_fixed_decode,386,19,2,send,2,42,0,1,1
smoke_run01_fixed_decode,387,19,2,send,3,96,0,1,1
smoke_run01_fixed_decode,388,19,2,send,4,213,0,1,1
smoke_run01_fixed_decode,389,19,2,send,5,64,0,1,1
smoke_run01_fixed_decode,390,19,2,send,6,10,0,1,1
smoke_run01_fixed_decode,391,19,2,send,7,133,0,1,1
smoke_run01_fixed_decode,392,19,2,send,8,181,0,1,1
smoke_run01_fixed_decode,393,19,2,send,9,217,0,1,1
smoke_run01_fixed_decode,394,19,2,send,10,204,0,1,1
smoke_run01_fixed_decode,395,19,2,send,11,101,0,1,1
smoke_run01_fixed_decode,396,19,2,send,12,12,0,1,1
smoke_run01_fixed_decode,397,19,2,send,13,180,0,1,1
smoke_run01_fixed_decode,398,19,2,send,14,49,0,1,1
smoke_run01_fixed_decode,399,19,2,send,15,100,0,1,1
smoke_run01_fixed_decode,400,20,1,warmup,0,38,0,1,1
smoke_run01_fixed_decode,401,20,1,warmup,1,85,0,1,1
smoke_run01_fixed_decode,402,20,1,warmup,2,96,0,1,1
smoke_run01_fixed_decode,403,20,1,warmup,3,73,0,1,1
smoke_run01_fixed_decode,404,20,2,send,0,110,0,1,1
smoke_run01_fixed_decode,405,20,2,send,1,168,0,1,1
smoke_run01_fixed_decode,406,20,2,send,2,36,0,1,1
smoke_run01_fixed_decode,407,20,2,send,3,100,0,1,1
smoke_run01_fixed_decode,408,20,2,send,4,201,0,1,1
smoke_run01_fixed_decode,409,20,2,send,5,234,0,1,1
smoke_run01_fixed_decode,410,20,2,send,6,105,0,1,1
smoke_run01_fixed_decode,411,20,2,send,7,23,0,1,1
smoke_run01_fixed_decode,412,20,2,send,8,178,0,1,1
smoke_run01_fixed_decode,413,20,2,send,9,190,0,1,1
smoke_run01_fixed_decode,414,20,2,send,10,146,0,1,1
smoke_run01_fixed_decode,415,20,2,send,11,152,0,1,1
smoke_run01_fixed_decode,416,20,2,send,12,206,0,1,1
smoke_run01_fixed_decode,417,20,2,send,13,218,0,1,1
smoke_run01_fixed_decode,418,20,2,send,14,100,0,1,1
